Team,ELO,Lat,Long
Chiefs,1711,39.04886980885212,-94.48402061049137
Bills,1682,42.77368370047009,-78.78699375843608
Steelers,1578,40.44667300240402,-80.01575060079283
Titans,1572,36.166478980084065,-86.77126834317069
Ravens, 1651,39.27799588452784,-76.62274731615189
Browns,1578,41.50605347925382,-81.6995481007797
Colts,1594,39.76007593673786,-86.16388770080121
